#{"t_start": 1743793390.2158263, "env_id": "sneaky_enemies"}
r,l,t
3.0,15,19.620679
10.0,22,19.672298
4.0,9,19.697868
4.0,7,19.71491
8.0,18,19.754498
8.0,34,19.821157
2.0,18,19.858974
2.0,7,19.874024
3.0,12,19.898233
2.0,8,19.910261
3.0,20,19.939301
8.0,30,19.996929
7.0,14,20.017921
3.0,11,20.035949
4.0,36,20.08156
3.0,7,20.092073
9.0,24,20.120803
5.0,32,20.159488
3.0,4,20.165027
7.0,10,20.177613
4.0,13,20.195595
3.0,9,20.208649
10.0,32,20.257304
4.0,10,20.272331
4.0,11,20.29039
5.0,20,20.316015
4.0,11,20.329583
3.0,15,20.348302
7.0,14,20.365364
4.0,22,20.392954
3.0,5,20.39953
4.0,23,20.427048
3.0,14,20.445188
3.0,15,20.464309
3.0,8,20.47682
11.0,28,20.513395
10.0,41,20.578485
3.0,7,20.595521
3.0,7,20.606554
5.0,7,20.617071
8.0,10,20.630584
3.0,7,20.640572
9.0,19,20.666611
3.0,11,20.680633
5.0,27,20.7157
2.0,7,20.725213
9.0,16,20.746238
3.0,7,20.755744
10.0,54,20.824522
7.0,18,20.846541
4.0,22,20.874068
3.0,10,20.886675
2.0,19,20.910325
4.0,19,20.934677
4.0,11,20.948211
3.0,7,20.95769
4.0,8,20.96723
12.0,34,21.008936
3.0,16,21.028979
3.0,8,21.039496
3.0,19,21.063691
4.0,33,21.10251
3.0,14,21.120644
9.0,28,21.154327
3.0,6,21.161902
9.0,17,21.182017
5.0,13,21.198182
11.0,22,21.224806
3.0,8,21.234412
6.0,19,21.256544
5.0,11,21.270619
3.0,6,21.278658
3.0,7,21.287228
9.0,18,21.312404
4.0,17,21.341068
3.0,7,21.353122
10.0,23,21.385781
4.0,13,21.405338
4.0,7,21.415387
5.0,19,21.440937
2.0,21,21.468502
4.0,12,21.486529
3.0,14,21.50809
2.0,7,21.517606
1.0,4,21.523608
3.0,10,21.537644
4.0,11,21.552164
6.0,13,21.571206
4.0,23,21.601775
1.0,3,21.60729
1.0,10,21.624318
2.0,7,21.634835
4.0,15,21.65548
4.0,15,21.676507
3.0,12,21.693528
3.0,7,21.704366
4.0,15,21.723389
5.0,24,21.753951
2.0,7,21.762494
11.0,21,21.789167
3.0,7,21.799219
2.0,35,21.849257
3.0,11,21.866366
3.0,13,21.884885
7.0,14,21.904466
2.0,7,21.91395
2.0,13,21.931609
2.0,7,21.941105
9.0,18,21.966142
9.0,18,21.990585
11.0,33,22.032206
10.0,23,22.060848
4.0,6,22.068418
5.0,25,22.098626
5.0,23,22.127374
3.0,7,22.136374
9.0,22,22.163056
3.0,19,22.187781
3.0,7,22.199787
4.0,18,22.234353
2.0,10,22.247525
2.0,15,22.267576
8.0,23,22.298786
8.0,22,22.326473
5.0,29,22.369556
3.0,4,22.375583
12.0,36,22.426501
4.0,11,22.451624
4.0,19,23.816301
3.0,7,23.826815
3.0,15,23.849865
2.0,11,23.864381
3.0,9,23.877405
5.0,10,23.89845
3.0,7,23.912485
3.0,7,23.928526
3.0,23,23.977133
