#{"t_start": 1743396140.4830596, "env_id": "sneaky_enemies"}
r,l,t
4.0,15,23.822052
4.0,8,23.832048
4.0,10,23.844054
3.0,11,23.858053
4.0,10,23.870027
2.0,3,23.874054
3.0,5,23.880054
2.0,16,23.900025
4.0,17,23.92006
2.0,11,23.934054
11.0,16,23.953059
7.0,14,23.969025
3.0,11,23.983055
13.0,88,24.084775
7.0,10,24.096779
10.0,28,24.130775
7.0,15,24.148774
2.0,15,24.166777
8.0,14,24.183775
4.0,8,24.194747
7.0,14,25.266193
3.0,7,25.276187
2.0,15,25.294187
7.0,10,25.30719
8.0,11,25.320188
12.0,15,25.339935
3.0,10,25.353934
10.0,28,25.390935
11.0,66,25.476934
8.0,10,25.488933
7.0,10,25.501933
9.0,22,25.529933
4.0,10,25.542936
2.0,7,25.551934
2.0,9,25.562934
3.0,7,25.571934
7.0,14,25.588934
11.0,38,25.633935
2.0,3,25.638961
2.0,7,25.646965
3.0,31,25.68396
9.0,22,25.709936
4.0,37,25.753969
9.0,26,25.784965
7.0,18,25.806938
2.0,7,25.815938
12.0,29,25.849938
2.0,3,25.853938
2.0,7,25.862938
3.0,14,25.879939
2.0,3,25.883938
3.0,7,25.893938
3.0,7,25.901939
10.0,37,25.945938
2.0,23,25.972939
4.0,12,25.987938
4.0,6,25.995938
2.0,13,26.010938
5.0,12,26.025938
9.0,22,26.052938
9.0,16,26.071939
5.0,20,26.095938
11.0,25,26.125939
4.0,9,26.136939
3.0,7,26.145938
8.0,22,26.171938
3.0,15,26.189939
7.0,14,26.206938
3.0,6,26.214938
3.0,7,26.223938
2.0,11,26.236938
2.0,3,26.240939
9.0,37,26.284939
8.0,18,26.306938
3.0,11,26.319939
7.0,10,26.331938
3.0,12,26.346938
11.0,12,26.361939
6.0,24,26.389938
8.0,18,26.411939
13.0,80,26.504939
8.0,20,26.528938
4.0,12,26.543939
7.0,18,26.564939
1.0,6,26.572938
2.0,7,26.581939
3.0,9,26.592938
2.0,11,26.606938
3.0,7,26.615938
4.0,11,26.628939
4.0,7,26.637938
2.0,7,26.646938
10.0,14,26.664303
4.0,17,26.684303
4.0,22,26.711302
9.0,14,26.727302
4.0,11,26.741302
3.0,7,26.750302
3.0,7,26.759302
4.0,8,26.769302
3.0,8,26.779302
2.0,7,26.788302
3.0,12,26.803302
4.0,9,26.814302
7.0,14,26.831302
7.0,18,26.852302
13.0,49,26.910302
8.0,14,26.927302
7.0,15,26.945302
4.0,10,26.958302
2.0,15,26.976302
7.0,14,26.993302
4.0,7,27.002303
4.0,15,27.020302
9.0,17,27.040302
8.0,13,27.057335
3.0,6,27.064331
10.0,30,27.100329
8.0,12,27.115325
8.0,19,27.13733
4.0,17,27.157331
3.0,12,27.172328
3.0,12,27.186332
3.0,7,27.19533
8.0,18,27.217336
9.0,21,27.24233
4.0,11,27.25533
4.0,8,27.265331
5.0,19,27.288329
2.0,11,27.302324
3.0,15,27.320301
2.0,7,27.32933
9.0,18,27.35133
2.0,7,27.3603
2.0,7,27.369331
8.0,22,27.395329
2.0,7,27.404329
3.0,29,27.437334
11.0,31,27.474333
9.0,26,27.505329
5.0,13,27.520329
6.0,18,27.54133
4.0,8,27.55133
8.0,18,27.572333
9.0,30,27.608299
