#{"t_start": 1743793487.1829495, "env_id": "sneaky_enemies"}
r,l,t
3.0,15,25.898134
8.0,14,25.915169
2.0,7,25.923687
8.0,22,25.952243
8.0,14,25.96876
3.0,6,25.978277
3.0,23,26.009879
11.0,25,26.040054
4.0,11,26.053656
1.0,7,26.06419
9.0,26,26.094462
5.0,14,26.113242
8.0,30,26.149034
6.0,20,27.330567
5.0,13,27.348086
4.0,9,27.358596
4.0,8,27.370107
11.0,28,27.408152
2.0,3,27.413666
4.0,9,27.424174
3.0,4,27.430683
2.0,3,27.434688
3.0,15,27.458706
2.0,11,27.477727
2.0,11,27.497299
7.0,22,27.524687
7.0,10,27.537721
4.0,14,27.555318
3.0,11,27.569829
2.0,3,27.573337
4.0,11,27.586847
4.0,8,27.598363
9.0,14,27.616448
4.0,11,27.630561
8.0,35,27.672891
3.0,11,27.686434
2.0,7,27.695012
3.0,7,27.703583
2.0,11,27.718105
3.0,19,27.742823
4.0,8,27.752389
10.0,30,27.788105
9.0,22,27.813812
9.0,31,27.851333
7.0,10,27.863875
9.0,14,27.881031
7.0,14,27.900073
9.0,18,27.922254
7.0,27,27.955043
2.0,7,27.96454
3.0,14,27.981599
10.0,25,28.012158
3.0,11,28.026733
3.0,9,28.037848
4.0,7,28.047416
4.0,10,28.06052
7.0,14,28.07809
2.0,7,28.086654
2.0,3,28.091225
4.0,7,28.10023
8.0,15,28.118943
3.0,7,28.12751
2.0,3,28.132584
3.0,15,28.150697
8.0,10,28.163302
10.0,33,28.206516
3.0,11,28.220608
3.0,15,28.240304
2.0,11,28.253907
7.0,10,28.266462
2.0,8,28.280015
11.0,35,28.322806
4.0,14,28.340366
3.0,15,28.358896
3.0,15,28.37693
8.0,26,28.408482
8.0,14,28.426513
4.0,13,28.444069
2.0,7,28.453584
4.0,18,28.475619
10.0,25,28.506199
7.0,10,28.518769
2.0,9,28.530318
4.0,12,28.544858
4.0,33,28.585869
2.0,3,28.59041
4.0,13,28.60701
7.0,10,28.61908
8.0,10,28.631225
9.0,14,28.649904
7.0,27,28.681652
2.0,15,28.700668
2.0,11,28.713241
12.0,42,28.764529
2.0,7,28.77511
3.0,19,28.797229
3.0,9,28.808794
2.0,7,28.818339
2.0,13,28.835087
3.0,19,28.85823
2.0,11,28.872365
3.0,23,28.901998
2.0,3,28.905997
8.0,34,28.948614
4.0,13,28.964755
10.0,67,29.044141
4.0,23,29.073758
13.0,28,29.107248
11.0,77,29.19899
8.0,26,29.230203
3.0,12,29.245337
3.0,11,29.258495
3.0,15,29.278521
3.0,7,29.287062
9.0,15,29.306179
3.0,8,29.316744
10.0,17,29.337452
9.0,18,29.358583
2.0,7,29.367128
1.0,8,29.377705
2.0,3,29.381278
10.0,111,29.514548
3.0,15,29.532699
11.0,46,29.588965
2.0,15,29.608083
2.0,15,29.628731
3.0,10,29.641446
3.0,11,29.655993
8.0,26,29.68761
5.0,11,29.701722
10.0,30,29.738996
3.0,4,29.744308
3.0,4,29.749309
2.0,7,29.757881
8.0,18,29.779995
3.0,20,29.804196
2.0,7,29.813764
9.0,22,29.840987
5.0,18,29.863131
9.0,18,29.885283
3.0,20,31.101977
7.0,10,31.118498
8.0,54,31.190101
10.0,13,31.208621
10.0,19,31.235653
7.0,14,31.256678
2.0,7,31.265184
7.0,10,31.278692
2.0,10,31.291709
12.0,62,31.375395
2.0,7,31.384915
2.0,7,31.396107
9.0,15,31.422634
9.0,18,31.44417
3.0,7,31.453376
3.0,9,31.465895
8.0,14,31.484016
4.0,6,31.492571
7.0,10,31.504143
10.0,63,31.580962
4.0,7,31.590503
10.0,56,31.657401
7.0,14,31.673538
8.0,14,31.69172
7.0,18,31.712821
3.0,19,31.736516
4.0,11,31.750623
5.0,15,31.769135
4.0,7,31.778702
9.0,13,31.793832
5.0,12,31.808407
4.0,11,31.824441
9.0,15,31.842715
10.0,56,31.910627
11.0,24,31.940459
4.0,23,31.967629
8.0,14,31.984783
2.0,7,31.99526
4.0,7,32.004834
11.0,76,32.094281
10.0,32,32.1335
10.0,18,32.159123
3.0,6,32.166639
3.0,19,32.190183
4.0,12,32.20571
5.0,12,32.22074
4.0,25,32.251818
2.0,7,32.260326
3.0,6,32.269337
10.0,95,32.386069
11.0,26,32.418619
7.0,14,32.435654
3.0,15,32.456207
2.0,7,32.465722
3.0,6,32.47324
2.0,7,32.482757
2.0,11,32.497325
3.0,5,32.503875
7.0,10,32.516395
2.0,7,32.524997
3.0,7,32.534557
10.0,12,32.54859
2.0,5,32.556109
2.0,7,32.564625
4.0,8,32.576153
4.0,10,32.588669
7.0,14,32.606705
3.0,8,32.618228
7.0,14,32.635258
9.0,14,32.653803
2.0,7,32.663321
1.0,12,32.677837
2.0,7,32.686354
4.0,5,32.692871
9.0,15,32.7119
4.0,17,32.732947
2.0,11,32.746982
7.0,10,32.760005
4.0,11,32.773536
12.0,85,32.879238
11.0,25,32.910294
4.0,21,32.93634
8.0,14,32.954897
3.0,11,32.968414
7.0,14,32.98645
4.0,10,32.998967
2.0,9,33.010997
3.0,12,33.025603
9.0,22,33.053378
10.0,74,33.144552
6.0,23,33.173102
2.0,7,33.182618
4.0,7,33.192136
13.0,47,33.248217
2.0,11,33.261369
3.0,11,33.274933
10.0,53,33.337658
3.0,6,33.345267
2.0,7,33.353837
4.0,27,33.387396
7.0,14,33.405965
4.0,17,33.428084
3.0,10,33.441677
2.0,7,33.45015
2.0,39,33.49546
2.0,7,33.505006
11.0,32,33.544239
11.0,33,33.584219
3.0,12,33.598791
7.0,10,33.612733
4.0,6,33.620234
2.0,7,33.629274
2.0,7,33.638383
4.0,12,33.65257
8.0,14,34.785261
7.0,18,34.808276
3.0,5,34.814785
3.0,10,34.829316
3.0,15,34.847842
3.0,11,34.86386
10.0,43,34.921899
1.0,5,34.928901
2.0,11,34.945936
9.0,14,34.962672
4.0,7,34.97218
2.0,7,34.980752
2.0,7,34.9923
2.0,7,35.001859
3.0,4,35.006835
3.0,6,35.016346
2.0,3,35.021369
9.0,14,35.040053
4.0,9,35.051654
11.0,27,35.084347
7.0,10,35.096891
3.0,5,35.103493
4.0,19,35.127546
8.0,22,35.154886
3.0,7,35.16443
3.0,8,35.174947
7.0,14,35.191983
10.0,51,35.254714
4.0,7,35.263285
7.0,10,35.275858
3.0,14,35.295985
10.0,37,35.341444
3.0,12,35.356018
10.0,16,35.376639
9.0,16,35.395816
4.0,6,35.404352
10.0,19,35.427497
4.0,15,35.44662
7.0,18,35.467792
9.0,16,35.487907
7.0,14,35.505086
10.0,335,35.906531
11.0,79,36.005161
10.0,20,36.030738
2.0,7,36.038765
3.0,11,36.052894
12.0,28,36.087602
11.0,61,36.162642
7.0,14,36.180162
10.0,35,36.221748
10.0,39,36.26998
10.0,93,36.383732
11.0,102,36.507443
4.0,15,36.525505
4.0,11,36.542539
2.0,7,36.552058
8.0,18,36.57511
2.0,11,36.588627
10.0,16,36.60867
3.0,5,36.616189
12.0,53,36.67933
3.0,8,36.690415
4.0,6,36.698423
10.0,25,36.727979
4.0,6,36.736495
11.0,41,36.7866
4.0,5,36.794117
3.0,7,36.802635
9.0,26,36.839199
3.0,7,36.848228
3.0,10,36.863276
3.0,6,36.870786
8.0,18,36.892825
3.0,11,36.907357
3.0,6,36.914873
8.0,10,36.927444
4.0,9,36.938049
7.0,14,36.95573
12.0,50,37.017074
2.0,7,37.025675
3.0,5,37.035204
10.0,124,37.1841
11.0,66,37.270106
2.0,7,37.280162
