#{"t_start": 1743396032.1313481, "env_id": "sneaky_enemies"}
r,l,t
2.0,11,15.153727
5.0,59,15.223733
2.0,7,15.231732
4.0,10,15.244726
5.0,17,15.264732
3.0,6,15.27273
3.0,11,15.285731
2.0,7,15.2947
5.0,21,15.321704
4.0,34,15.362736
3.0,5,15.369704
3.0,9,15.380704
3.0,11,15.394701
2.0,11,15.408731
4.0,17,15.429732
2.0,7,15.438731
5.0,18,15.460731
4.0,19,15.483734
2.0,7,15.492732
3.0,15,15.514704
3.0,19,15.539731
6.0,18,15.561729
3.0,15,15.580726
4.0,20,15.604726
3.0,15,15.623704
5.0,14,15.640731
4.0,17,15.662706
4.0,19,15.686731
2.0,7,15.695732
3.0,7,15.704732
4.0,15,15.7237
3.0,7,15.732701
3.0,15,15.750731
3.0,7,15.759732
3.0,11,15.772732
3.0,38,15.817729
2.0,3,15.821732
4.0,11,15.835734
2.0,7,15.844732
4.0,9,15.855731
4.0,39,15.908703
5.0,27,15.941732
4.0,15,15.960701
5.0,19,15.982728
2.0,7,15.991734
2.0,7,16.000737
4.0,14,16.018702
5.0,15,16.036734
3.0,43,16.086732
10.0,46,16.140732
5.0,15,16.1587
3.0,11,16.171734
3.0,15,16.189701
1.0,7,16.198701
3.0,6,16.205732
8.0,19,16.228702
8.0,23,16.255702
4.0,11,16.269732
3.0,6,16.276731
5.0,15,16.294732
4.0,26,16.325732
1.0,4,16.330731
5.0,23,16.357731
4.0,10,16.369731
2.0,35,16.410732
5.0,17,16.430702
3.0,11,16.444732
9.0,30,16.479732
3.0,7,16.488732
5.0,20,16.51153
3.0,15,16.529533
5.0,13,16.545535
4.0,31,16.581502
3.0,9,16.592529
4.0,12,16.607533
3.0,15,16.624533
3.0,9,16.635533
3.0,15,16.653537
9.0,39,16.699503
2.0,11,16.713504
3.0,23,16.742533
4.0,13,16.757533
4.0,23,16.785533
4.0,23,16.812528
3.0,35,16.853531
5.0,19,16.876533
3.0,12,16.891533
5.0,24,16.919534
9.0,26,16.950534
