#{"t_start": 1743793581.931727, "env_id": "sneaky_enemies"}
r,l,t
3.0,6,30.780347
3.0,5,30.788865
5.0,12,30.806429
10.0,25,30.84248
10.0,33,30.88955
3.0,43,30.949785
3.0,18,30.979332
2.0,3,30.984721
11.0,38,31.045546
11.0,27,31.086452
7.0,18,31.110049
2.0,3,31.115121
3.0,9,31.128251
3.0,7,31.137778
3.0,4,31.143314
9.0,22,31.173513
4.0,8,31.186083
8.0,14,31.20433
5.0,10,31.216897
3.0,6,31.225004
4.0,19,31.248221
7.0,10,31.260764
3.0,4,31.266339
3.0,14,31.284089
3.0,7,31.293568
9.0,25,31.325322
7.0,18,31.348029
2.0,7,31.357362
4.0,12,31.373099
2.0,11,31.386252
11.0,37,31.431927
3.0,23,31.459779
8.0,18,31.480928
9.0,22,31.509281
2.0,3,31.513881
8.0,23,31.544321
10.0,61,31.616944
4.0,27,31.648493
2.0,11,31.663526
7.0,10,31.676044
4.0,8,31.685559
3.0,15,31.705593
7.0,10,31.718112
8.0,14,31.735145
7.0,10,31.747662
4.0,8,31.758179
2.0,9,31.768695
7.0,10,31.78124
5.0,21,31.807914
4.0,16,31.828223
4.0,16,31.849335
2.0,16,31.869057
4.0,10,31.88063
11.0,53,31.945205
5.0,19,31.968341
10.0,37,32.013723
7.0,18,32.035438
11.0,61,32.108644
9.0,26,32.141955
7.0,10,32.154238
2.0,7,32.163392
9.0,18,32.186539
2.0,3,32.190541
4.0,8,32.203202
7.0,14,32.220855
10.0,95,32.336056
9.0,18,32.358093
5.0,21,32.384642
5.0,27,32.420199
2.0,3,32.424715
2.0,7,32.433234
4.0,9,32.444751
4.0,15,32.46383
8.0,18,32.484976
4.0,23,32.51531
4.0,19,32.540347
8.0,10,32.553381
2.0,7,32.562381
10.0,57,32.631005
11.0,56,32.70062
3.0,5,32.709141
2.0,7,32.718661
3.0,5,32.726181
3.0,23,32.756731
5.0,16,32.776765
2.0,7,32.786281
11.0,60,32.860901
3.0,5,32.868418
8.0,15,32.886456
11.0,38,32.932556
4.0,19,32.955596
3.0,19,32.98063
3.0,6,32.988149
4.0,13,33.008694
11.0,32,33.046733
10.0,22,33.072374
11.0,45,33.127707
4.0,18,33.148776
4.0,31,33.185978
3.0,8,33.19603
3.0,6,33.203519
7.0,10,33.21606
4.0,19,33.238144
10.0,23,33.267768
3.0,8,33.278339
8.0,18,33.302029
3.0,19,33.324753
3.0,14,33.341285
11.0,18,33.362988
3.0,5,33.369992
4.0,17,33.391155
4.0,21,34.634077
10.0,80,34.754819
3.0,15,34.778857
11.0,42,34.837028
2.0,3,34.842025
10.0,58,34.912681
3.0,19,34.938731
3.0,7,34.951256
12.0,42,35.014688
8.0,10,35.030209
5.0,29,35.069819
10.0,17,35.091964
3.0,15,35.111291
3.0,17,35.133921
4.0,9,35.145444
2.0,3,35.149443
7.0,14,35.168477
2.0,7,35.177994
10.0,62,35.260512
5.0,11,35.274637
7.0,14,35.291209
8.0,14,35.30832
3.0,15,35.325993
2.0,7,35.33551
4.0,11,35.34906
4.0,7,35.358543
10.0,42,35.409778
1.0,3,35.414351
8.0,18,35.436404
3.0,8,35.445993
8.0,22,35.473481
8.0,18,35.495516
5.0,15,35.516069
11.0,22,35.542612
7.0,10,35.556142
9.0,30,35.593208
9.0,22,35.622263
4.0,13,35.637792
1.0,17,35.658827
4.0,12,35.673852
3.0,13,35.689355
3.0,7,35.698375
3.0,7,35.706884
9.0,13,35.722989
12.0,32,35.762184
10.0,23,35.789358
2.0,7,35.798479
8.0,14,35.815628
4.0,39,35.862259
11.0,24,35.893814
8.0,18,35.916368
9.0,34,35.959442
9.0,15,35.978473
2.0,7,35.986993
7.0,18,36.010555
2.0,3,36.015071
4.0,7,36.023583
8.0,14,36.041108
2.0,19,36.06466
9.0,17,36.086695
8.0,14,36.104245
3.0,7,36.112816
3.0,7,36.123428
2.0,7,36.132991
2.0,11,36.146532
4.0,10,36.159134
7.0,14,36.176199
12.0,42,36.227473
11.0,66,36.304935
8.0,19,36.328968
3.0,6,36.336508
4.0,6,36.34411
10.0,20,36.36822
2.0,7,36.377738
4.0,10,36.390256
10.0,61,36.466914
5.0,12,36.483946
3.0,12,36.498987
4.0,11,36.513137
3.0,11,36.526677
5.0,43,36.579266
10.0,45,36.646711
2.0,7,36.65525
4.0,20,36.681368
5.0,13,36.696403
2.0,7,36.705445
3.0,50,36.773101
4.0,7,36.782608
3.0,8,36.797158
8.0,11,36.812226
2.0,11,36.82727
3.0,5,36.834779
8.0,10,36.8473
10.0,62,36.925447
2.0,7,36.934966
9.0,30,36.972031
10.0,30,37.011111
2.0,7,37.019629
7.0,18,37.043175
7.0,10,37.055697
3.0,11,37.069215
9.0,15,37.088247
5.0,15,37.106994
2.0,7,37.115564
2.0,7,37.125112
2.0,7,37.140212
3.0,5,37.148557
11.0,28,37.195089
11.0,28,37.230208
10.0,15,37.253195
2.0,15,37.270697
4.0,39,38.49472
3.0,15,38.515246
11.0,22,38.545785
2.0,7,38.556298
4.0,13,38.576317
3.0,12,38.590825
2.0,3,38.595335
10.0,18,38.616855
3.0,5,38.623359
3.0,7,38.634872
8.0,18,38.657888
3.0,19,38.686448
8.0,18,38.710006
2.0,16,38.731042
3.0,16,38.750077
4.0,7,38.759593
8.0,10,38.773622
11.0,25,38.806151
3.0,11,38.819656
3.0,12,38.8357
4.0,9,38.849251
4.0,23,38.87792
3.0,31,38.916398
4.0,15,38.936123
