#{"t_start": 1743793677.0944746, "env_id": "sneaky_enemies"}
r,l,t
3.0,19,16.367226
5.0,23,16.399784
4.0,27,16.444851
2.0,7,16.455358
3.0,8,16.466874
3.0,15,16.485894
4.0,15,16.508444
4.0,14,16.527588
4.0,15,16.547642
4.0,16,16.568725
2.0,3,16.575247
3.0,14,16.593943
2.0,7,16.603423
3.0,12,16.622468
4.0,16,16.645613
4.0,27,16.684674
5.0,13,16.702286
3.0,19,16.724419
4.0,26,16.756042
3.0,9,16.767614
3.0,23,16.795303
2.0,7,16.804874
2.0,7,16.81344
3.0,7,16.823936
2.0,7,16.832445
10.0,45,16.888666
2.0,7,16.897184
2.0,15,16.916217
2.0,11,16.932514
3.0,11,16.949034
5.0,11,16.964084
3.0,11,16.977661
2.0,15,16.997278
3.0,15,17.015311
4.0,23,17.046942
3.0,9,17.058511
2.0,15,17.076603
3.0,12,17.092263
3.0,11,17.105834
3.0,11,17.119885
2.0,6,17.127924
4.0,35,17.172135
4.0,27,17.204671
2.0,3,17.208671
5.0,11,17.223319
2.0,7,17.23283
2.0,7,17.244169
6.0,27,17.277596
9.0,22,17.307697
3.0,19,17.332905
3.0,7,17.341415
4.0,23,17.371955
3.0,14,17.388977
5.0,25,17.422025
11.0,34,17.465076
2.0,3,17.469077
4.0,10,17.481102
2.0,27,17.51729
3.0,23,17.546856
5.0,39,17.594017
3.0,15,17.614075
3.0,10,17.633129
2.0,6,17.64164
3.0,11,17.657166
3.0,19,17.690236
4.0,16,17.724101
3.0,24,17.774122
2.0,7,17.786662
4.0,27,17.835737
5.0,27,17.872812
2.0,3,17.876812
3.0,7,17.886328
3.0,13,17.903647
5.0,31,17.942713
4.0,12,17.962749
4.0,27,18.014926
2.0,15,18.037097
2.0,19,18.063154
2.0,3,18.068155
3.0,28,18.120199
7.0,47,18.182866
5.0,15,18.205456
3.0,9,18.218972
3.0,7,18.228487
5.0,23,18.263154
5.0,27,18.301805
4.0,12,18.316822
8.0,21,18.342346
4.0,11,18.354945
4.0,31,18.394209
4.0,27,18.426761
3.0,7,18.436272
4.0,16,18.456342
10.0,51,18.516403
4.0,35,18.559197
3.0,7,18.567763
4.0,39,18.61553
3.0,39,18.662295
2.0,11,18.675873
3.0,7,18.684437
4.0,7,18.693552
8.0,18,18.71768
3.0,11,18.730792
3.0,15,18.751922
4.0,19,18.775006
2.0,11,18.790036
3.0,12,18.805554
3.0,21,18.834309
2.0,7,18.844825
3.0,19,18.87504
3.0,9,18.886523
2.0,7,18.897555
3.0,11,18.914215
4.0,23,18.941896
2.0,11,18.955911
5.0,19,18.978946
5.0,18,19.003016
3.0,23,19.032123
3.0,6,19.040123
2.0,7,19.048639
2.0,15,20.239859
8.0,22,20.266893
9.0,26,20.301942
3.0,9,20.315405
8.0,22,20.343956
10.0,30,20.383998
4.0,47,20.443099
8.0,31,20.484158
7.0,14,20.503196
3.0,27,20.53666
6.0,28,20.570192
2.0,11,20.583214
7.0,31,20.619879
5.0,12,20.634852
4.0,11,20.648393
2.0,11,20.662475
3.0,55,20.727429
3.0,11,20.741499
5.0,19,20.764685
4.0,15,20.784739
3.0,23,20.811435
4.0,15,20.829009
4.0,16,20.84797
5.0,17,20.870028
11.0,31,20.906975
4.0,12,20.925063
7.0,19,20.947205
3.0,7,20.956391
4.0,19,20.978477
6.0,14,20.997593
3.0,9,21.008138
8.0,15,21.02626
1.0,3,21.031752
1.0,3,21.035775
4.0,9,21.047347
3.0,19,21.068505
4.0,16,21.088349
9.0,22,21.115638
3.0,21,21.140199
2.0,11,21.153726
5.0,15,21.174772
4.0,11,21.18829
5.0,48,21.246502
5.0,15,21.264618
4.0,14,21.282709
2.0,7,21.291911
2.0,7,21.300442
2.0,11,21.31496
1.0,11,21.328234
2.0,27,21.362266
2.0,5,21.369265
3.0,8,21.380282
6.0,48,21.438601
5.0,19,21.464196
2.0,7,21.472774
4.0,22,21.500975
8.0,18,21.522111
5.0,16,21.54189
4.0,12,21.556453
2.0,23,21.585086
1.0,2,21.588084
2.0,7,21.597173
2.0,7,21.605738
3.0,23,21.634978
4.0,19,21.658011
6.0,11,21.672045
2.0,6,21.679045
11.0,42,21.730281
4.0,31,21.767442
2.0,7,21.775982
5.0,35,21.818359
3.0,11,21.833393
5.0,19,21.856482
3.0,27,21.89504
3.0,23,21.924739
4.0,18,21.946794
2.0,7,21.956342
2.0,9,21.966936
3.0,6,21.97551
4.0,15,21.994114
3.0,11,22.007608
2.0,7,22.016184
7.0,14,22.034232
2.0,7,22.04355
4.0,13,22.059128
3.0,11,22.074213
3.0,16,22.092897
3.0,11,22.106433
4.0,11,22.12151
3.0,7,22.131074
4.0,15,22.148646
1.0,3,22.153162
3.0,15,22.1712
4.0,10,22.183715
3.0,11,22.197887
4.0,5,22.207437
9.0,34,22.250147
3.0,11,22.263751
3.0,7,22.272318
4.0,39,22.323121
4.0,16,22.342224
5.0,23,22.368375
2.0,11,22.383457
4.0,15,22.401134
4.0,8,22.411619
2.0,7,22.421198
3.0,18,22.442373
2.0,15,22.46247
5.0,30,22.497672
1.0,7,22.50721
4.0,7,22.515787
3.0,7,22.524358
3.0,11,22.53789
4.0,15,22.556557
2.0,3,22.560091
1.0,3,22.565122
6.0,15,22.583119
3.0,23,22.611752
3.0,15,22.633876
5.0,26,22.667227
2.0,11,22.682307
7.0,28,22.71711
4.0,11,22.731777
5.0,14,22.749336
12.0,35,22.792419
3.0,21,24.048126
4.0,15,24.071653
3.0,11,24.087172
3.0,15,24.107694
2.0,7,24.117207
3.0,28,24.154259
3.0,11,24.172292
9.0,22,24.205866
2.0,7,24.214887
4.0,15,24.23292
2.0,19,24.256677
3.0,8,24.267195
3.0,11,24.282229
3.0,15,24.301784
4.0,29,24.33734
3.0,23,24.365891
5.0,23,24.39595
8.0,22,24.422503
2.0,7,24.431014
4.0,7,24.440524
3.0,13,24.458075
4.0,25,24.488684
3.0,7,24.4988
2.0,3,24.502348
3.0,10,24.514914
3.0,19,24.537696
3.0,19,24.560288
5.0,15,24.578745
4.0,15,24.598405
2.0,15,24.61706
3.0,19,24.643136
7.0,23,24.672303
5.0,16,24.691916
3.0,13,24.709045
3.0,15,24.72766
3.0,27,24.76077
2.0,11,24.774348
7.0,16,24.794439
3.0,11,24.808179
3.0,19,24.834051
8.0,14,24.851719
3.0,10,24.86426
2.0,11,24.877515
4.0,16,24.896798
4.0,14,24.914915
3.0,7,24.922975
4.0,18,24.94413
2.0,11,24.959279
5.0,11,24.972013
3.0,9,24.9841
8.0,14,25.000265
4.0,10,25.012838
3.0,16,25.032926
5.0,19,25.056276
3.0,7,25.064818
2.0,15,25.08492
4.0,16,25.104198
3.0,7,25.113687
2.0,3,25.117687
6.0,13,25.133721
2.0,11,25.147292
13.0,49,25.205245
3.0,5,25.212397
4.0,15,25.230512
2.0,15,25.249062
3.0,13,25.268147
11.0,21,25.294924
9.0,19,25.317977
2.0,14,25.337073
2.0,11,25.351108
3.0,11,25.363623
8.0,23,25.394209
6.0,31,25.430928
3.0,11,25.444344
3.0,11,25.458357
3.0,7,25.467877
4.0,19,25.490139
8.0,19,25.514262
8.0,14,25.531319
4.0,32,25.568605
2.0,15,25.587641
4.0,23,25.615703
3.0,7,25.625225
3.0,7,25.63474
4.0,18,25.655829
4.0,15,25.674944
3.0,15,25.693191
3.0,11,25.707277
3.0,12,25.722027
5.0,17,25.742953
9.0,17,25.76707
2.0,7,25.775424
6.0,11,25.79
2.0,23,25.817765
8.0,22,25.846031
4.0,31,25.883714
3.0,11,25.89783
6.0,15,25.916945
3.0,4,25.922303
2.0,7,25.931329
7.0,18,25.953536
5.0,11,25.969082
8.0,26,25.998841
9.0,17,26.019944
9.0,30,26.057312
3.0,27,26.090262
9.0,18,26.111384
4.0,22,26.137357
4.0,27,26.169223
3.0,8,26.179298
3.0,11,26.192386
4.0,12,26.207303
7.0,15,26.227391
4.0,11,26.239965
8.0,18,26.263277
3.0,11,26.276374
5.0,23,26.306049
3.0,7,26.318205
3.0,23,26.350166
2.0,7,26.361804
5.0,38,26.415582
6.0,28,26.453419
6.0,39,26.502329
8.0,18,26.524011
7.0,11,26.53829
4.0,15,26.558054
4.0,15,26.57599
3.0,11,26.591894
4.0,10,26.60404
2.0,11,26.617529
4.0,12,27.818012
6.0,15,27.840077
4.0,15,27.863463
8.0,34,27.913534
5.0,39,27.96703
3.0,27,28.007521
8.0,18,28.030164
5.0,31,28.07022
11.0,43,28.125205
3.0,10,28.138629
5.0,11,28.151683
10.0,17,28.173659
3.0,27,28.20667
7.0,15,28.22564
2.0,15,28.244627
4.0,11,28.264655
2.0,7,28.274199
2.0,19,28.300228
7.0,14,28.3176
3.0,10,28.330656
3.0,7,28.342234
3.0,11,28.355665
10.0,22,28.383225
2.0,7,28.391647
4.0,15,28.410241
3.0,15,28.428274
3.0,31,28.467346
7.0,22,28.492688
8.0,30,28.531252
2.0,7,28.539278
4.0,15,28.558271
2.0,6,28.565776
3.0,12,28.580348
3.0,11,28.595339
4.0,23,28.623592
2.0,11,28.637179
4.0,18,28.658287
3.0,10,28.671267
3.0,11,28.68465
4.0,13,28.700332
3.0,11,28.713934
7.0,18,28.735085
8.0,26,28.768759
4.0,13,28.784797
5.0,18,28.806509
9.0,21,28.832205
4.0,15,28.856306
3.0,23,28.883959
3.0,9,28.895514
4.0,19,28.918227
2.0,15,28.935347
1.0,6,28.942847
4.0,12,28.958305
4.0,13,28.975233
3.0,19,28.997871
5.0,15,29.017038
16.0,48,29.076303
3.0,6,29.084729
4.0,39,29.133986
2.0,12,29.14855
3.0,15,29.172189
3.0,15,29.195794
3.0,8,29.207855
4.0,15,29.226999
2.0,23,29.256703
4.0,12,29.271797
8.0,26,29.305118
10.0,27,29.340323
2.0,7,29.350359
3.0,7,29.358926
6.0,10,29.37203
5.0,24,29.403161
5.0,36,29.446331
12.0,61,29.531226
4.0,11,29.546746
2.0,19,29.573322
5.0,31,29.612184
2.0,11,29.630186
3.0,7,29.6438
8.0,22,29.670482
3.0,16,29.692569
3.0,19,29.718252
2.0,14,29.736141
7.0,10,29.748648
4.0,8,29.760665
3.0,11,29.774192
2.0,7,29.783708
2.0,3,29.787708
8.0,22,29.814774
7.0,18,29.838814
3.0,15,29.856849
3.0,11,29.870367
4.0,24,29.899926
2.0,15,29.918454
4.0,11,29.931482
3.0,13,29.948006
4.0,12,29.963038
9.0,17,29.98407
5.0,19,30.008618
7.0,15,30.026734
3.0,7,30.037171
10.0,23,30.064888
2.0,7,30.073449
7.0,14,30.090557
4.0,16,30.110275
4.0,27,30.148644
8.0,18,30.171325
6.0,23,30.198025
3.0,19,30.22173
4.0,14,30.243793
3.0,27,30.278502
2.0,11,30.294539
3.0,16,30.314252
9.0,38,30.365096
7.0,10,30.377665
7.0,10,30.390239
7.0,23,30.418517
4.0,13,30.433656
3.0,7,30.443233
5.0,39,31.651337
3.0,11,31.668844
4.0,14,31.691395
2.0,7,31.703425
4.0,8,31.715937
7.0,14,31.738955
9.0,29,31.78059
3.0,19,31.808619
4.0,10,31.823655
7.0,14,31.842687
4.0,18,31.864706
12.0,38,31.912309
10.0,29,31.946033
3.0,27,31.978718
2.0,7,31.988263
3.0,5,31.994833
11.0,47,32.054164
3.0,7,32.06468
1.0,3,32.068374
2.0,7,32.077892
4.0,15,32.095925
4.0,13,32.112014
9.0,31,32.151086
2.0,7,32.159086
3.0,15,32.179115
4.0,11,32.192151
4.0,19,32.217221
3.0,35,32.258452
3.0,22,32.28606
8.0,14,32.303841
2.0,3,32.307841
9.0,15,32.324983
5.0,11,32.341119
3.0,12,32.355691
2.0,15,32.374748
5.0,19,32.397914
4.0,19,32.420136
4.0,7,32.429172
2.0,7,32.437743
4.0,13,32.453873
7.0,36,32.497159
7.0,14,32.515827
5.0,15,32.533951
5.0,10,32.547518
5.0,16,32.566662
11.0,65,32.642637
2.0,3,32.646671
4.0,12,32.660771
1.0,8,32.670338
3.0,7,32.682939
5.0,34,32.723793
2.0,7,32.732395
8.0,16,32.752122
7.0,41,32.800793
3.0,11,32.814374
3.0,7,32.822979
1.0,7,32.831518
2.0,23,32.860229
9.0,22,32.888397
4.0,23,32.91562
13.0,39,32.962453
2.0,3,32.968478
4.0,12,32.983616
13.0,57,33.054098
10.0,34,33.098253
5.0,15,33.116944
3.0,8,33.127511
4.0,9,33.139089
5.0,16,33.158204
2.0,3,33.162749
6.0,16,33.183921
5.0,10,33.196487
8.0,15,33.214139
3.0,11,33.227734
1.0,2,33.231305
4.0,11,33.244872
4.0,12,33.261017
2.0,7,33.269012
7.0,10,33.282133
4.0,31,33.319378
3.0,7,33.328953
9.0,20,33.353663
2.0,7,33.362202
4.0,9,33.374801
10.0,20,33.398551
3.0,21,33.425845
4.0,16,33.444986
4.0,13,33.460095
5.0,43,33.51629
11.0,22,33.54198
8.0,19,33.56483
4.0,13,33.580936
11.0,42,33.632375
3.0,6,33.640402
14.0,33,33.68023
10.0,26,33.710527
2.0,7,33.720094
3.0,14,33.736699
4.0,19,33.760378
2.0,15,33.778514
2.0,11,33.792636
5.0,14,33.810272
3.0,27,33.843016
5.0,16,33.862136
3.0,13,33.87773
10.0,27,33.910485
3.0,11,33.925065
4.0,19,33.948233
3.0,5,33.954797
8.0,42,34.00679
4.0,18,34.028931
2.0,7,34.037505
14.0,25,34.067219
8.0,23,34.095901
3.0,11,34.109043
4.0,15,34.127887
3.0,6,34.136402
4.0,10,34.147919
8.0,14,34.164984
11.0,25,34.195696
9.0,18,35.350108
4.0,6,35.358111
11.0,39,35.416201
2.0,7,35.428759
2.0,3,35.43427
8.0,19,35.46079
4.0,10,35.477307
1.0,7,35.48839
1.0,3,35.492471
4.0,14,35.510989
2.0,11,35.527528
2.0,15,35.546662
3.0,11,35.560233
4.0,11,35.573384
11.0,38,35.619225
3.0,6,35.626795
7.0,10,35.641855
3.0,11,35.656423
3.0,7,35.665016
2.0,10,35.679281
4.0,8,35.688859
6.0,43,35.739982
2.0,7,35.748553
3.0,27,35.781774
3.0,22,35.808486
3.0,6,35.817062
3.0,31,35.854057
4.0,10,35.866628
3.0,11,35.8802
4.0,9,35.892277
7.0,23,35.918552
3.0,23,35.948267
9.0,18,35.971976
2.0,6,35.97897
3.0,7,35.988537
4.0,18,36.011769
3.0,7,36.020271
11.0,29,36.055022
2.0,3,36.059024
3.0,14,36.076173
8.0,19,36.100316
3.0,11,36.113709
3.0,7,36.122252
12.0,72,36.209388
3.0,8,36.219954
4.0,11,36.2331
3.0,12,36.248642
13.0,28,36.282817
2.0,15,36.302956
4.0,11,36.316716
8.0,18,36.338854
8.0,22,36.365567
4.0,15,36.384707
4.0,22,36.411577
4.0,26,36.443299
4.0,11,36.456862
1.0,7,36.466436
5.0,9,36.477987
10.0,26,36.510306
3.0,8,36.520881
5.0,18,36.542053
4.0,14,36.558618
5.0,14,36.575386
7.0,10,36.587955
2.0,7,36.598523
3.0,15,36.61624
3.0,43,36.668091
3.0,23,36.696432
8.0,26,36.727377
3.0,15,36.744521
7.0,18,36.767653
2.0,19,36.790216
1.0,3,36.795228
8.0,26,36.826318
3.0,7,36.834884
9.0,26,36.86695
9.0,17,36.887099
6.0,39,36.934536
4.0,11,36.948108
3.0,23,36.977774
8.0,14,36.993918
3.0,11,37.008003
7.0,18,37.030541
4.0,15,37.049069
9.0,22,37.075619
3.0,8,37.085135
3.0,18,37.107774
2.0,11,37.121829
3.0,7,37.130336
5.0,19,37.15551
4.0,11,37.170079
4.0,38,37.216399
4.0,13,37.232519
4.0,15,37.250126
3.0,10,37.263232
2.0,17,37.282357
5.0,14,37.304365
3.0,7,37.3194
3.0,11,37.337464
5.0,11,37.350562
3.0,11,37.364166
7.0,22,37.391875
2.0,7,37.40038
3.0,14,37.41752
5.0,14,37.436665
4.0,9,37.447236
4.0,10,37.458799
3.0,5,37.467368
3.0,15,37.48551
10.0,35,37.527335
2.0,7,37.536907
5.0,29,37.572194
3.0,10,37.584757
4.0,11,37.599326
10.0,21,37.625287
3.0,10,37.638825
8.0,20,37.663542
3.0,15,37.68265
3.0,7,37.691253
10.0,22,37.717914
7.0,27,37.750192
2.0,7,37.761323
4.0,15,37.778893
4.0,13,37.795035
1.0,6,37.802577
8.0,15,37.820299
2.0,13,37.836129
3.0,7,37.845675
8.0,25,37.879363
3.0,11,37.895478
2.0,11,37.908625
11.0,62,39.215117
2.0,7,39.227624
7.0,14,39.244645
2.0,7,39.257151
10.0,35,39.310256
3.0,8,39.323785
4.0,26,39.358339
1.0,3,39.362854
8.0,27,39.397392
2.0,15,39.425449
11.0,53,39.488525
4.0,11,39.502547
7.0,19,39.532598
10.0,20,39.558616
3.0,21,39.583967
3.0,11,39.602009
3.0,11,39.616034
5.0,13,39.63218
1.0,6,39.640178
9.0,14,39.657314
4.0,26,39.68804
5.0,16,39.707182
9.0,18,39.728866
5.0,19,39.75128
6.0,27,39.783967
10.0,17,39.804766
7.0,35,39.850007
9.0,18,39.871184
3.0,10,39.882764
